city,date,cpi,violent crime,property crime,patents,population,unemployment,case shiller,education and health,medical care,motor fuel,income,food and bev,DOW,SP500,NASDAQ
portland,07-12,230.811,3093.0,30454.0,228.0,763.741,7.8,137.550786205295,0.19605413968968277,488.971,322.53,44332.00000000001,215.746,12810.490000000002,1359.3626190476189,2919.7861904761903
portland,08-12,231.29833333333335,3093.0,30454.0,285.0,764.2803333333334,7.5,138.192598418782,0.1970129441336233,489.14983333333333,322.292,44414.83333333334,216.3465,13132.203043478261,1402.8634782608692,3031.0426086956527
portland,09-12,231.78566666666669,3093.0,30454.0,279.0,764.8196666666666,6.8,139.053409955504,0.1971929158570238,489.32866666666666,322.054,44497.66666666667,216.947,13409.048421052632,1442.5221052631578,3135.786578947369
portland,10-12,232.27300000000002,3093.0,30454.0,346.0,765.3589999999999,7.0,141.026099918959,0.1975047618556129,489.5075,321.816,44580.5,217.5475,13388.199047619048,1438.5226190476192,3065.375952380952
portland,11-12,232.76033333333334,3093.0,30454.0,237.0,765.8983333333333,6.7,142.11729308993,0.19767967831064046,489.6863333333333,321.578,44663.333333333336,218.148,12896.907142857142,1394.3788095238097,2941.119523809524
portland,12-12,233.24766666666667,3093.0,30454.0,273.0,766.4376666666667,6.9,142.2646940353,0.19786496682723317,489.86516666666665,321.34,44746.16666666667,218.74849999999998,13141.749749999999,1422.0445000000004,3002.63525
portland,01-13,233.735,2941.0,29633.0,264.0,766.977,7.6,143.47933023062998,0.19743277152118902,490.044,321.102,44829.0,219.349,13597.24023809524,1478.6826190476193,3124.319285714286
portland,02-13,234.33283333333335,2941.0,29633.0,216.0,767.9790833333333,7.2,144.867182270581,0.1981848187281637,491.775,319.4843333333333,45028.083333333336,219.992,13962.227105263159,1511.8755263157893,3170.0278947368415
portland,03-13,234.93066666666667,2941.0,29633.0,343.0,768.9811666666667,6.9,148.148904812545,0.19783275386785287,493.506,317.8666666666667,45227.16666666667,220.635,14405.15675,1549.46725,3233.5284999999994
portland,04-13,235.5285,2941.0,29633.0,320.0,769.98325,6.3,149.936877032505,0.1988409053435929,495.23699999999997,316.249,45426.25000000001,221.278,14669.971363636363,1570.0609090909093,3249.897954545454
portland,05-13,236.12633333333335,2941.0,29633.0,302.0,770.9853333333333,6.2,151.383674523342,0.2000148169844969,496.96799999999996,314.6313333333334,45625.33333333334,221.921,15165.237272727274,1638.8022727272728,3437.4375
