atlanta,boston,chicago,cleveland,dallas,denver,detroit,la,miami,minneapolis,nyc,phoenix,portland,sf,seattle,tampa,dc,date,cpi,crimes_reported,crimes_cleared,patents,population,unemployment,case_shiller,dow,nasdaq,sp,label
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-98,173.0,85891,43086,1256,7888.059333333334,5.3,85.987124847655,151.491934045754,9080.072,1839.1125,1108.417
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-98,173.1,85891,43086,1535,7895.509416666667,5.3,86.482426108943,152.247026039044,8872.960454545453,1793.8052272727275,1108.3895454545454
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-98,173.6,85891,43086,1402,7902.959500000001,5.6,87.1611833108,153.28968430574,9097.137272727276,1943.5863636363638,1156.5772727272727
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-98,174.2,85891,43086,1195,7910.409583333334,5.3,87.665885500823,154.486737091366,8478.518095238094,1793.359523809524,1074.6204761904762
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-98,174.4,85891,43086,1219,7917.859666666667,5.3,88.228580502286,156.363150558086,7909.793333333333,1659.1961904761906,1020.6395238095237
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-98,174.8,85891,43086,1336,7925.30975,5.2,88.739203225725,157.976731610483,8164.47181818182,1615.0295454545458,1032.47
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-98,174.7,85891,43086,1165,7932.7598333333335,5.1,89.259598103848,160.016232956062,9005.751499999998,1886.5170000000003,1144.4334999999996
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12-98,174.7,85891,43086,1308,7940.209916666667,5.1,89.558397788102,161.89445612702,9018.68,2068.3797727272727,1190.050909090909
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,01-99,175.0,78945,37792,1027,7947.66,5.8,89.85618596563499,163.642813333216,9345.857368421051,2354.478157894737,1248.774736842105
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,02-99,175.1,78945,37792,1121,7953.289083333333,6.0,90.51220494507601,165.450287607404,9322.944210526315,2365.619210526316,1246.582105263158
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,03-99,175.5,78945,37792,1455,7958.918166666666,5.5,91.285557983926,167.479819951114,9753.633913043477,2392.5117391304348,1281.6639130434785
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,04-99,176.0,78945,37792,1186,7964.54725,5.2,92.27485358250601,169.14233826236202,10443.499523809525,2548.777380952381,1334.7576190476188
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,05-99,176.1,78945,37792,1199,7970.176333333333,4.9,93.000473839312,171.144164967365,10853.866,2518.0630000000006,1332.074
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,06-99,176.8,78945,37792,1349,7975.805416666666,5.2,94.035052539026,173.34739639583,10704.017727272729,2518.313181818181,1322.5527272727272
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,07-99,177.2,78945,37792,1329,7981.434499999999,5.4,94.93969836868999,175.648200237508,11052.217142857144,2744.031428571429,1380.9899999999998
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,08-99,177.6,78945,37792,1203,7987.063583333334,5.0,96.024203872467,177.28347004389,10935.473181818183,2644.635,1327.4886363636363
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,09-99,178.2,78945,37792,1272,7992.692666666667,5.1,96.79117484602399,179.12236850244,10714.034285714286,2811.357857142857,1318.171904761905
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10-99,178.9,78945,37792,1231,7998.32175,4.8,97.59161811944401,181.12494952860902,10396.882857142857,2813.2890476190473,1300.01
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11-99,178.8,78945,37792,1376,8003.950833333333,4.7,98.40007503705999,182.928588106746,10809.755238095238,3228.7795238095237,1391.002857142857
