DATE,MIAM112EDUH
2006-04-01,305.314072028809
2006-05-01,306.45205768116404
2006-06-01,307.147735075194
2006-07-01,308.70215250500803
2006-08-01,309.828548805459
2006-09-01,310.008486174871
2006-10-01,310.774371582463
2006-11-01,311.961755614965
2006-12-01,312.920763239702
2007-01-01,314.285972591657
2007-02-01,315.28549649741797
2007-03-01,315.725980199832
2007-04-01,316.451028374199
2007-05-01,317.377098683365
2007-06-01,318.483045423509
2007-07-01,319.005227662786
2007-08-01,319.918594455374
2007-09-01,321.07082093186796
2007-10-01,321.524847852298
2007-11-01,322.373984959316
2007-12-01,323.81549692517603
2008-01-01,324.755538469749
2008-02-01,325.863606071508
2008-03-01,326.761783519162
2008-04-01,325.43453513296697
2008-05-01,326.19756834382804
2008-06-01,326.52976814475
2008-07-01,325.783728291434
