DATE,PORT941EDUH
2005-11-01,123.94586682185499
2005-12-01,124.579097049504
2006-01-01,124.24951447590401
2006-02-01,124.633989426581
2006-03-01,124.952808833636
2006-04-01,125.523514496851
2006-05-01,125.813144524237
2006-06-01,125.666183912117
2006-07-01,125.61666626701799
2006-08-01,126.299174214659
2006-09-01,126.47379606868401
2006-10-01,127.569583774669
2006-11-01,128.19182239966102
2006-12-01,128.816719624288
2007-01-01,128.766486074276
2007-02-01,129.636439626908
2007-03-01,130.070395105641
2007-04-01,130.12954259326
2007-05-01,130.60897440788298
2007-06-01,130.89648560011102
2007-07-01,131.044086824266
2007-08-01,131.37794549004
2007-09-01,131.802627520128
2007-10-01,132.427344074222
2007-11-01,132.844439805319
2007-12-01,132.900056076222
2008-01-01,133.307779198736
2008-02-01,133.95628483659402
2008-03-01,134.221590703861
2008-04-01,134.769337306891
2008-05-01,134.947081283194
2008-06-01,135.695575857617
2008-07-01,135.999797318881
2008-08-01,136.382040716325
2008-09-01,137.028140672457
2008-10-01,137.33682725951098
2008-11-01,137.42939069968398
2008-12-01,137.623776906455
2009-01-01,137.598845335695
2009-02-01,137.694698894699
2009-03-01,137.491940635408
2009-04-01,138.295973425961
2009-05-01,139.027501274785
2009-06-01,139.162998898937
2009-07-01,139.67325731268699
2009-08-01,139.891607304569
2009-09-01,141.038651595405
2009-10-01,140.51533100420602
2009-11-01,140.870036436108
2009-12-01,140.697491901315
2010-01-01,142.574057423304
2010-02-01,142.112235389552
2010-03-01,142.644706307103
2010-04-01,143.194041817828
2010-05-01,143.722478598752
2010-06-01,143.96410555027902
2010-07-01,144.379404514811
2010-08-01,144.469489711017
2010-09-01,144.946384532283
2010-10-01,145.605496359138
2010-11-01,145.986542947547
2010-12-01,146.53377819200702
2011-01-01,147.72723993858298
2011-02-01,147.234903309277
2011-03-01,147.407969611149
2011-04-01,147.384960070122
2011-05-01,147.426352227644
2011-06-01,147.939891676443
2011-07-01,148.255562150489
2011-08-01,148.827650522977
2011-09-01,148.988568108488
2011-10-01,148.735848882661
2011-11-01,148.941779732978
2011-12-01,149.118098923487
2012-01-01,149.435795517255
2012-02-01,149.865324597371
2012-03-01,150.308603240958
2012-04-01,150.430772887174
2012-05-01,150.3659813761
2012-06-01,150.26258113705
2012-07-01,149.734584700738
2012-08-01,150.573118613427
2012-09-01,150.817020174797
2012-10-01,151.16204702905
2012-11-01,151.402536151989
2012-12-01,151.651163490142
2013-01-01,151.42639480300699
2013-02-01,152.20179541743798
2013-03-01,152.129661874181
2013-04-01,153.10416652940202
2013-05-01,154.208490344398
2013-06-01,153.593004093219
2013-07-01,153.175700100027
2013-08-01,154.595025929935
2013-09-01,154.843882511065
2013-10-01,155.409022907359
2013-11-01,155.830810186452
2013-12-01,155.990456090346
2014-01-01,156.558159912365
2014-02-01,156.017170623546
2014-03-01,156.737830202538
2014-04-01,156.912488887293
2014-05-01,157.506475303371
2014-06-01,158.449305459681
2014-07-01,158.25037204224702
2014-08-01,158.137100331213
2014-09-01,158.819913792855
2014-10-01,158.976978648129
