DATE,TAMP312EDUH
2006-04-01,160.096919537874
2006-05-01,160.506202955684
2006-06-01,160.867208746534
2006-07-01,161.04800842854098
2006-08-01,161.470646706621
2006-09-01,162.727834655983
2006-10-01,163.082416882883
2006-11-01,163.748998192984
2006-12-01,164.806890751943
2007-01-01,165.110388227914
2007-02-01,165.926898202197
2007-03-01,166.94022426450002
2007-04-01,167.265410605857
2007-05-01,167.601764446356
2007-06-01,168.625023643406
2007-07-01,168.216745027041
2007-08-01,169.55721494757
2007-09-01,169.97832931319098
2007-10-01,170.773818162984
2007-11-01,171.451405852463
2007-12-01,171.937710226567
2008-01-01,172.442263827797
2008-02-01,172.77119708696898
2008-03-01,172.882566823432
2008-04-01,172.652820761876
2008-05-01,173.122553344262
2008-06-01,172.691473965317
2008-07-01,172.68538655734002
2008-08-01,173.258680543601
2008-09-01,173.15159658415902
2008-10-01,173.128289495923
2008-11-01,173.604576324832
2008-12-01,174.077127024011
2009-01-01,172.86514417576697
2009-02-01,172.745175371243
2009-03-01,173.161609146757
2009-04-01,173.258653877746
2009-05-01,173.82848249510502
2009-06-01,174.130237597463
2009-07-01,174.60755662874402
2009-08-01,174.644752081876
2009-09-01,175.124589585428
2009-10-01,176.004022785014
2009-11-01,176.390773024062
2009-12-01,177.07943924294702
2010-01-01,177.153228887962
2010-02-01,177.155147993569
2010-03-01,178.17650501744498
2010-04-01,177.487252771735
2010-05-01,177.312627100948
2010-06-01,178.059621097664
2010-07-01,178.32330022458402
2010-08-01,177.74811085179698
2010-09-01,177.566650870384
2010-10-01,178.89092447764
2010-11-01,178.92472303565498
2010-12-01,179.143415551716
2011-01-01,179.782596681252
2011-02-01,179.97512290046
2011-03-01,180.029395116977
2011-04-01,181.393754415154
2011-05-01,180.78969406333698
2011-06-01,180.651869677514
2011-07-01,181.25660966956002
2011-08-01,181.38526497440898
2011-09-01,181.69071286715
2011-10-01,181.288394970123
2011-11-01,181.38194444166803
2011-12-01,181.405897465598
2012-01-01,181.55022478887
2012-02-01,181.873624628116
2012-03-01,181.920102398345
2012-04-01,182.310379478082
2012-05-01,182.27536726908002
2012-06-01,183.03838452654597
2012-07-01,181.972855644468
2012-08-01,182.55352865257197
2012-09-01,182.755456028274
2012-10-01,182.26564624999298
2012-11-01,182.135284383938
2012-12-01,182.84079136259498
2013-01-01,183.117426370983
2013-02-01,183.45778269506002
2013-03-01,184.149715128366
2013-04-01,184.1330875027
2013-05-01,184.36649158839901
2013-06-01,184.52514417301398
2013-07-01,184.62650440133203
2013-08-01,184.931694309177
2013-09-01,185.143224157582
2013-10-01,185.52316921648602
2013-11-01,185.97304517395
2013-12-01,185.71953569269797
2014-01-01,186.06015575279702
2014-02-01,186.12560910798598
2014-03-01,186.866200940649
2014-04-01,187.103557641601
2014-05-01,187.691494420132
2014-06-01,188.011814057097
2014-07-01,188.552274382495
2014-08-01,189.24818089707298
2014-09-01,189.493912054142
2014-10-01,189.84936518803903
2014-11-01,190.42967726770198
2014-12-01,190.960513274652
2015-01-01,191.13729584817298
2015-02-01,192.18304612284
2015-03-01,192.164930383945
2015-04-01,193.095598940571
2015-05-01,193.77946924555
2015-06-01,194.913268315053
2015-07-01,194.723748594277
2015-08-01,194.484687064933
2015-09-01,195.84603028837003
2015-10-01,197.300311941275
2015-11-01,197.986766932174
2015-12-01,198.297154986217
2016-01-01,197.57784289605
2016-02-01,197.58086991612498
2016-03-01,197.772233792747
2016-04-01,199.084356806208
2016-05-01,199.111541023656
2016-06-01,198.51940964534901
2016-07-01,199.918484929987
2016-08-01,200.01668085047
2016-09-01,201.272587971346
2016-10-01,201.632442816771
2016-11-01,201.76577179416
2016-12-01,202.705906941855
2017-01-01,203.41814655405497
2017-02-01,203.919693860206
2017-03-01,204.88543291878398
2017-04-01,204.831117806668
2017-05-01,205.088154418313
2017-06-01,205.287118912747
2017-07-01,205.334196259242
2017-08-01,205.980118156206
2017-09-01,204.138264026077
2017-10-01,206.33817717468102
2017-11-01,206.32645889667998
2017-12-01,207.234811041086
2018-01-01,208.46606510209202
2018-02-01,208.764710894425
2018-03-01,209.456758112958
2018-04-01,209.84328232829102
2018-05-01,209.816428607896
2018-06-01,209.856578262061
2018-07-01,209.902281689874
2018-08-01,212.52623254664903
2018-09-01,213.271699836846
2018-10-01,212.451274279291
2018-11-01,213.436181200131
2018-12-01,213.856799882872
2019-01-01,214.35819149241902
2019-02-01,214.896802804373
2019-03-01,215.47827537856
2019-04-01,216.26726356477297
2019-05-01,219.435465825111
2019-06-01,219.38774502169602
2019-07-01,219.52379799725398
2019-08-01,220.179691225165
2019-09-01,221.32837243759
2019-10-01,220.857476401608
2019-11-01,221.40459557771499
2019-12-01,221.21531690730498
2020-01-01,221.70697399375598
2020-02-01,223.25577446787202
2020-03-01,222.88166051196498
2020-04-01,202.610455324953
2020-05-01,208.20183529043499
2020-06-01,213.22533295981998
2020-07-01,210.674551633713
2020-08-01,210.27371478020802
2020-09-01,211.546446083792
2020-10-01,212.926112129748
2020-11-01,213.91896759291
2020-12-01,214.640089917104
2021-01-01,215.75169609221402
2021-02-01,215.48909671958
2021-03-01,216.387554990195
2021-04-01,217.22305574580201
2021-05-01,217.11245704025902
2021-06-01,218.088454550625
2021-07-01,218.57290712611
2021-08-01,218.912556583722
2021-09-01,217.411636116399
2021-10-01,218.484442128051
2021-11-01,218.45252146579602
2021-12-01,218.969121855729
2022-01-01,217.790826123546
2022-02-01,219.557397713475
2022-03-01,219.84963428184602
2022-04-01,219.27576017023398
