DATE,SMU06310806500000001SA
2006-04-01,744.005118525439
2006-05-01,745.6813190115331
2006-06-01,748.258809355043
2006-07-01,745.8864184607601
2006-08-01,750.193187303715
2006-09-01,752.429432649526
2006-10-01,754.7130032555671
2006-11-01,756.0465296561189
2006-12-01,758.035771572963
2007-01-01,761.3405009443151
2007-02-01,764.3588801337219
2007-03-01,766.828767610957
2007-04-01,767.270109517789
2007-05-01,769.9633714700791
2007-06-01,771.765105411244
2007-07-01,775.04209537741
2007-08-01,776.537271962861
2007-09-01,780.4635028201759
2007-10-01,783.2625244327969
2007-11-01,785.955893017518
2007-12-01,787.8198925527561
2008-01-01,792.60079802149
2008-02-01,794.9060419299541
2008-03-01,796.663158068983
2008-04-01,800.4865724897611
2008-05-01,802.6730569435471
2008-06-01,805.55907030786
2008-07-01,811.01421209866
2008-08-01,814.043913234476
2008-09-01,817.83267917508
2008-10-01,820.422412201474
2008-11-01,824.071524241158
2008-12-01,826.409691071441
2009-01-01,826.322325217667
2009-02-01,828.694501862064
2009-03-01,831.6569945245959
2009-04-01,832.8746424915089
2009-05-01,836.166069652173
2009-06-01,838.553870835116
2009-07-01,841.372357148186
2009-08-01,840.546336374195
2009-09-01,840.358730516329
2009-10-01,843.7615824836889
2009-11-01,842.1596629569369
2009-12-01,842.363690765506
2010-01-01,839.793951806192
2010-02-01,836.679371100397
2010-03-01,838.274831147859
2010-04-01,840.6660927592051
2010-05-01,839.115324240489
2010-06-01,839.8994873587019
2010-07-01,839.161859461559
2010-08-01,840.9302864787629
2010-09-01,843.701437837437
2010-10-01,843.976567882992
2010-11-01,845.167235674131
2010-12-01,845.935620887097
2011-01-01,848.72331864647
2011-02-01,849.717753260506
2011-03-01,851.56844742752
2011-04-01,848.356367138387
2011-05-01,847.738149535005
2011-06-01,848.2041352836239
2011-07-01,847.911805132423
2011-08-01,847.493156982612
2011-09-01,850.557018280143
2011-10-01,852.5648739640469
2011-11-01,855.331628360473
2011-12-01,859.040164078609
2012-01-01,862.210839100365
2012-02-01,867.378235223578
2012-03-01,870.14633396176
2012-04-01,873.6896709325549
2012-05-01,877.504717414762
2012-06-01,880.520317202161
2012-07-01,881.20593296791
2012-08-01,885.443852549039
2012-09-01,884.3139856677001
2012-10-01,885.257736768448
2012-11-01,886.823901484212
2012-12-01,889.197088732673
2013-01-01,878.1442614827471
2013-02-01,879.082267515004
2013-03-01,881.6987128144
2013-04-01,891.541928230401
2013-05-01,890.822472045881
2013-06-01,889.7682757564
2013-07-01,891.686874259129
2013-08-01,894.2427335254849
2013-09-01,894.037143193065
2013-10-01,895.315509373863
2013-11-01,897.203286987914
2013-12-01,900.990352907879
2014-01-01,902.825152607866
2014-02-01,904.499316525195
2014-03-01,906.671348130106
2014-04-01,907.397907511484
2014-05-01,909.04084216285
