DATE,SEAT653EDUH
2006-05-01,201.47468934368
2006-06-01,201.457549455316
2006-07-01,200.689420757025
2006-08-01,201.715747699987
2006-09-01,202.754575911339
2006-10-01,202.220917031786
2006-11-01,202.456591072154
2006-12-01,203.017072017985
2007-01-01,203.90372346996398
2007-02-01,204.61045287782503
2007-03-01,205.60660648170398
2007-04-01,205.845743238812
2007-05-01,206.70447706986198
2007-06-01,206.400318701159
2007-07-01,206.802282345784
2007-08-01,207.62056528946098
2007-09-01,208.461724173092
2007-10-01,209.69890803113
2007-11-01,210.527702204845
2007-12-01,211.110426512734
2008-01-01,210.876484430128
2008-02-01,211.999104933563
2008-03-01,211.694507845853
2008-04-01,212.66914625016997
2008-05-01,213.532647672368
2008-06-01,214.64978968698398
2008-07-01,215.78080042858397
2008-08-01,216.76491025745997
2008-09-01,217.291968885903
2008-10-01,218.048556876843
2008-11-01,218.24728444585
2008-12-01,219.263199604347
2009-01-01,221.301571599283
2009-02-01,221.60369419641103
2009-03-01,222.181050244835
2009-04-01,222.199022055303
2009-05-01,223.36134620638802
2009-06-01,224.437770377807
2009-07-01,224.900598279445
2009-08-01,225.53181467886398
2009-09-01,226.268644623353
2009-10-01,227.61722926888902
2009-11-01,227.895776247523
2009-12-01,229.032800467721
2010-01-01,228.80884663723
2010-02-01,228.74929085158402
2010-03-01,229.487033103737
2010-04-01,229.984937111532
2010-05-01,230.57980675243599
2010-06-01,231.14177792347303
2010-07-01,231.64752799161
2010-08-01,231.87594112162103
2010-09-01,232.77286685649798
2010-10-01,233.844011433591
2010-11-01,234.52816861275298
2010-12-01,234.253569384455
2011-01-01,235.832405385551
2011-02-01,236.186874989725
2011-03-01,236.582703712826
2011-04-01,236.98967903202998
2011-05-01,236.82504502650002
2011-06-01,237.649162084044
2011-07-01,238.578975225698
2011-08-01,238.650318117924
2011-09-01,238.917431204384
2011-10-01,238.300884451591
2011-11-01,239.31871863004102
2011-12-01,239.07952139021302
2012-01-01,239.026092242335
2012-02-01,239.538206680988
2012-03-01,240.88383965661302
2012-04-01,240.15937930195702
2012-05-01,241.062950995968
2012-06-01,241.179867120541
2012-07-01,240.411033728352
2012-08-01,240.79253435904
2012-09-01,240.818541274486
2012-10-01,240.984036850306
2012-11-01,241.50554848754902
2012-12-01,241.928409765428
2013-01-01,240.510972951997
2013-02-01,242.06209961835998
2013-03-01,242.51731295814702
2013-04-01,243.145004060028
2013-05-01,242.985539584128
2013-06-01,242.28857044711498
2013-07-01,243.33970906531601
2013-08-01,243.79452811319698
2013-09-01,244.60399324082402
2013-10-01,245.33333144485402
2013-11-01,245.848423084819
2013-12-01,246.163080883209
2014-01-01,246.99409895085097
2014-02-01,247.855438056829
2014-03-01,247.623812327783
2014-04-01,247.302663056521
2014-05-01,247.931865934746
2014-06-01,247.307128560471
2014-07-01,249.461954073985
2014-08-01,249.472165979515
2014-09-01,249.216013900519
2014-10-01,248.462687174325
2014-11-01,248.36031660034402
2014-12-01,249.19633317310797
2015-01-01,248.80949288245
2015-02-01,248.56397936661202
2015-03-01,249.03016370206
2015-04-01,250.13555104041697
2015-05-01,250.30290238137297
2015-06-01,251.369851176226
2015-07-01,251.67709008034302
2015-08-01,251.46092524122102
2015-09-01,252.13857921097
2015-10-01,253.299534479071
2015-11-01,253.96032759827
2015-12-01,254.322362189784
2016-01-01,256.539208242217
2016-02-01,257.455601667693
2016-03-01,258.455040760443
2016-04-01,259.538209708377
2016-05-01,259.99132501995996
2016-06-01,260.36666245615504
2016-07-01,260.28578765562304
2016-08-01,261.731315608278
2016-09-01,262.605305567416
2016-10-01,262.111912441961
2016-11-01,262.512589688424
2016-12-01,263.039608478919
2017-01-01,262.479155425346
2017-02-01,263.564461049808
2017-03-01,264.813434589415
2017-04-01,263.97128256747897
2017-05-01,265.008423598163
2017-06-01,266.084807008788
2017-07-01,266.615638420509
2017-08-01,267.444196725826
2017-09-01,268.538380066628
2017-10-01,269.397166586869
2017-11-01,270.276252409864
2017-12-01,270.591034016695
2018-01-01,272.431683738779
2018-02-01,273.14161629624
2018-03-01,274.06154212541
2018-04-01,274.584016827494
2018-05-01,275.49848207901
2018-06-01,275.49166351457296
2018-07-01,276.65931552727903
2018-08-01,277.717329188967
2018-09-01,277.692412129008
2018-10-01,278.532902837473
2018-11-01,279.032437240053
2018-12-01,279.28000658753
2019-01-01,280.181854151943
2019-02-01,278.392083852213
2019-03-01,281.88939013781896
2019-04-01,281.511304578257
2019-05-01,282.651789187281
2019-06-01,282.164538487196
2019-07-01,284.234381293161
2019-08-01,284.680363378253
2019-09-01,283.87105501226
2019-10-01,285.03511924370997
2019-11-01,285.348110891672
2019-12-01,286.267855779419
2020-01-01,285.484975997318
2020-02-01,285.313369650115
2020-03-01,283.747606377602
2020-04-01,256.80029259945803
2020-05-01,256.210487234038
2020-06-01,264.477179099166
2020-07-01,268.90203260273
2020-08-01,268.858018596988
2020-09-01,272.24741484892104
2020-10-01,271.568139131073
2020-11-01,272.69308044074796
2020-12-01,273.20148876377
2021-01-01,273.106806719794
2021-02-01,273.816969193592
2021-03-01,275.404011047333
2021-04-01,276.417150854261
2021-05-01,275.52776737690397
2021-06-01,277.942304243155
2021-07-01,277.096009866187
2021-08-01,277.13091963513
2021-09-01,277.39542486657
2021-10-01,276.855448788606
2021-11-01,276.500904495298
2021-12-01,276.21228152665697
2022-01-01,278.205718204763
2022-02-01,278.503301574898
2022-03-01,279.123350126938
2022-04-01,280.505906453338
