DATE,MINN427EDUH
2006-04-01,238.730670846307
2006-05-01,239.87544608888697
2006-06-01,241.555398469632
2006-07-01,243.57340863932598
2006-08-01,243.972653022445
2006-09-01,244.197420381577
2006-10-01,243.78714177663798
2006-11-01,246.031837119137
2006-12-01,247.23729820731202
2007-01-01,250.384667531805
2007-02-01,250.34841153511903
2007-03-01,251.084823283827
2007-04-01,252.093502254621
2007-05-01,253.475747406138
2007-06-01,255.00948912856603
2007-07-01,255.33079087296102
2007-08-01,256.37541090088797
2007-09-01,256.173428881463
2007-10-01,256.593535712783
2007-11-01,258.180872893951
2007-12-01,258.453734712314
2008-01-01,259.145984011
2008-02-01,259.796428716278
2008-03-01,260.73898114670897
2008-04-01,261.354893167481
2008-05-01,261.065560421398
2008-06-01,262.632360644208
2008-07-01,264.06079531852004
2008-08-01,264.487582393713
2008-09-01,265.612242279771
2008-10-01,266.809079505806
2008-11-01,267.075917557573
2008-12-01,267.55082354268
2009-01-01,268.092765357087
2009-02-01,268.371209935348
2009-03-01,268.639714430396
2009-04-01,269.30117334826696
2009-05-01,269.583393258355
2009-06-01,268.44470701265203
2009-07-01,270.028613840451
2009-08-01,269.375597583314
2009-09-01,269.21016970166403
2009-10-01,270.086972301128
2009-11-01,270.483467876366
2009-12-01,271.747037655071
2010-01-01,269.548037305075
2010-02-01,269.80428564951
2010-03-01,271.28963421089804
2010-04-01,272.507328778495
2010-05-01,273.273648310258
2010-06-01,273.678208158056
2010-07-01,272.704232456473
2010-08-01,274.007215232073
2010-09-01,273.71424034747
2010-10-01,275.27439681606
2010-11-01,275.969722172062
2010-12-01,276.105847087504
2011-01-01,278.080861370289
2011-02-01,278.05955706586496
2011-03-01,278.366807660176
2011-04-01,281.1935121572
2011-05-01,280.664365786681
2011-06-01,281.09973003430304
2011-07-01,280.724916278673
2011-08-01,281.698106166338
2011-09-01,283.542530098476
2011-10-01,283.34377380009
2011-11-01,283.87748438347
2011-12-01,285.241760725908
2012-01-01,285.39294185613
2012-02-01,286.558152818444
2012-03-01,287.022677941017
2012-04-01,286.477248919668
2012-05-01,286.45089861502703
2012-06-01,286.836288109611
2012-07-01,287.647242518775
2012-08-01,288.190689214629
2012-09-01,291.18391327239203
2012-10-01,291.808370497136
2012-11-01,292.282298062818
2012-12-01,292.31627120417704
2013-01-01,295.811362299397
2013-02-01,296.697406025932
2013-03-01,296.801378507444
2013-04-01,297.39109151583
2013-05-01,298.597869703787
2013-06-01,298.914668561556
2013-07-01,299.57146156675
2013-08-01,300.65049309404
2013-09-01,300.816084113814
2013-10-01,301.579404318981
2013-11-01,302.513352120026
2013-12-01,302.59075052037997
2014-01-01,302.352827087174
2014-02-01,302.746109678202
2014-03-01,303.348722624683
2014-04-01,304.374338593541
2014-05-01,304.97793248406896
2014-06-01,305.766132555542
2014-07-01,306.46698993219
2014-08-01,307.653859182494
2014-09-01,308.19339871030303
2014-10-01,308.547115400287
2014-11-01,308.760706272733
2014-12-01,309.66503056087504
2015-01-01,308.560605823194
2015-02-01,309.9073604126
2015-03-01,311.302553983841
2015-04-01,310.417290781319
2015-05-01,311.93098425387404
2015-06-01,312.696009693734
2015-07-01,313.495038867757
2015-08-01,314.258554664232
2015-09-01,315.430066615209
2015-10-01,315.715129099453
2015-11-01,316.392196199043
2015-12-01,316.926925867181
2016-01-01,318.835350939948
2016-02-01,319.24626476484
2016-03-01,319.57489729027196
2016-04-01,322.173242873022
2016-05-01,322.427990879341
2016-06-01,322.10916913080104
2016-07-01,324.407492734398
2016-08-01,326.313309528635
2016-09-01,324.288666370903
2016-10-01,322.75168358587297
2016-11-01,326.79324730789904
2016-12-01,327.902288626636
2017-01-01,328.523151386315
2017-02-01,330.087391681425
2017-03-01,330.994104907472
2017-04-01,331.77461406305696
2017-05-01,331.980972341238
2017-06-01,334.457527645202
2017-07-01,334.075651570797
2017-08-01,334.694877602652
2017-09-01,335.25352022464
2017-10-01,335.00509234642504
2017-11-01,335.495795647528
2017-12-01,336.607459981036
2018-01-01,336.889052067197
2018-02-01,337.708868767974
2018-03-01,339.129533723196
2018-04-01,339.53665632290904
2018-05-01,339.71422701588403
2018-06-01,340.525259307181
2018-07-01,339.92411188479696
2018-08-01,340.049460926429
2018-09-01,340.813209591882
2018-10-01,341.27460870587896
2018-11-01,341.963939875576
2018-12-01,341.784088486365
2019-01-01,342.492124641746
2019-02-01,342.31242907854903
2019-03-01,342.628267283731
2019-04-01,343.835146840055
2019-05-01,343.887238973091
2019-06-01,344.97735197694504
2019-07-01,344.88981206361296
2019-08-01,345.10964490765406
2019-09-01,346.412261259441
2019-10-01,348.057595442147
2019-11-01,348.46605588400496
2019-12-01,348.420941275572
2020-01-01,349.22771282219804
2020-02-01,350.990146847799
2020-03-01,348.283696389257
2020-04-01,308.859659215522
2020-05-01,311.17277892842
2020-06-01,319.189753085002
2020-07-01,322.139418084792
2020-08-01,324.799656964156
2020-09-01,326.112967371776
2020-10-01,335.639815411516
2020-11-01,336.889807888232
2020-12-01,335.262159094899
2021-01-01,338.689015230095
2021-02-01,339.42331875126
2021-03-01,339.564131053011
2021-04-01,340.074494613862
2021-05-01,339.41566538794103
2021-06-01,338.726117189814
2021-07-01,339.471419092795
2021-08-01,339.132047228514
2021-09-01,335.880076793376
2021-10-01,336.688973765848
2021-11-01,335.992972610102
2021-12-01,337.309522854181
2022-01-01,334.427068107617
2022-02-01,337.929441426864
2022-03-01,341.073441302387
2022-04-01,339.79788034755103
