DATE,PHOE004EDUH
2018-04-01,322.09886694606604
2018-05-01,322.90134598480597
2018-06-01,320.703922287278
2018-07-01,323.30930257397597
2018-08-01,325.929073009883
2018-09-01,327.097455829529
2018-10-01,328.16421113109
2018-11-01,329.67893133234
2018-12-01,330.268388241513
2019-01-01,331.817366138659
2019-02-01,333.511665415835
2019-03-01,334.05932685103
2019-04-01,335.8046943768
2019-05-01,338.1423593704
2019-06-01,335.769818659391
2019-07-01,336.697642377665
2019-08-01,341.981087952809
2019-09-01,343.229952217516
2019-10-01,343.84987003334
2019-11-01,346.036564891881
2019-12-01,347.096264490743
2020-01-01,353.239436623419
2020-02-01,350.97098255322504
2020-03-01,350.182325077287
2020-04-01,314.059814581481
2020-05-01,324.15773339265303
2020-06-01,330.535499421406
2020-07-01,330.507553069026
