DATE,DENV708EDUH
2005-10-01,119.648120644447
2005-11-01,120.227069866548
2005-12-01,120.540319642774
2006-01-01,121.052765589182
2006-02-01,121.496433444985
2006-03-01,121.737104360477
2006-04-01,122.328915531299
2006-05-01,122.534095670503
2006-06-01,122.904857361319
2006-07-01,123.181436932397
2006-08-01,123.512789304474
2006-09-01,123.883618717706
2006-10-01,124.40667702868099
2006-11-01,124.61305268497499
2006-12-01,125.044291096376
2007-01-01,125.29657914759501
2007-02-01,125.76930268329599
2007-03-01,126.54842715159
2007-04-01,126.872021605634
2007-05-01,127.346520179439
2007-06-01,127.74941818879299
2007-07-01,128.216174385426
2007-08-01,128.530548492204
2007-09-01,128.969004511298
2007-10-01,129.273919492361
2007-11-01,130.071501057723
2007-12-01,130.936545079453
2008-01-01,130.792815380214
2008-02-01,131.548061526251
