DATE,SANF806EDUH
2006-03-01,256.318755708028
2006-04-01,257.695621988176
2006-05-01,258.553108448056
2006-06-01,259.348620104346
2006-07-01,259.454646150377
2006-08-01,260.392285842844
2006-09-01,261.444939198135
2006-10-01,261.70591276583
2006-11-01,262.35376970396703
2006-12-01,263.289863743485
2007-01-01,263.789151216479
2007-02-01,265.705706563803
2007-03-01,267.34827382603
2007-04-01,264.627257675702
2007-05-01,265.888867894823
2007-06-01,268.281321908568
2007-07-01,268.01186319544
2007-08-01,268.04394841085605
2007-09-01,268.632579268233
2007-10-01,270.002949005245
2007-11-01,271.467549948115
2007-12-01,271.878476742636
2008-01-01,273.340729367089
2008-02-01,275.481629801316
2008-03-01,276.633003133127
2008-04-01,279.185994156002
2008-05-01,281.049600128568
2008-06-01,280.855377383786
2008-07-01,283.468798936551
2008-08-01,285.12635522529996
2008-09-01,286.386322423023
2008-10-01,287.576257097739
2008-11-01,288.5616680708
2008-12-01,289.78800087625
2009-01-01,290.180862967067
2009-02-01,289.30918818577203
2009-03-01,289.60939648652
2009-04-01,290.010606321217
2009-05-01,290.281718890003
2009-06-01,290.725781024323
2009-07-01,290.68309255394
2009-08-01,290.410782997417
2009-09-01,290.529531995976
2009-10-01,290.887549342228
2009-11-01,290.996261963117
2009-12-01,291.511131004219
2010-01-01,293.37948310289903
2010-02-01,290.92773954347
2010-03-01,291.750046765491
2010-04-01,291.524956431671
2010-05-01,292.022654270619
2010-06-01,292.354030339078
2010-07-01,293.688790545663
2010-08-01,291.80952603137797
2010-09-01,293.40635138182
2010-10-01,293.351632321165
2010-11-01,292.86553132563597
2010-12-01,292.986383844687
2011-01-01,295.195263187825
2011-02-01,293.01293204458403
2011-03-01,292.49396117997503
2011-04-01,292.781724856492
2011-05-01,292.331021494744
2011-06-01,291.395304515092
2011-07-01,291.881963320108
2011-08-01,292.097083095494
2011-09-01,295.05951000058997
2011-10-01,295.080791971833
2011-11-01,295.371661487447
2011-12-01,295.888748261931
2012-01-01,296.885639795105
2012-02-01,298.827028450616
2012-03-01,300.268478374026
2012-04-01,301.097531091183
2012-05-01,301.939585261263
2012-06-01,303.23994897776697
2012-07-01,304.405803505128
2012-08-01,305.564352394711
2012-09-01,306.143239170009
2012-10-01,305.50506721922
2012-11-01,306.49573448457
2012-12-01,308.021104782977
2013-01-01,307.809721181851
2013-02-01,310.24075307621496
2013-03-01,311.62048349323504
2013-04-01,311.803650290805
2013-05-01,313.527797004994
2013-06-01,313.884530459266
2013-07-01,313.585182559664
2013-08-01,314.888132689545
2013-09-01,314.277334457356
2013-10-01,314.979883399111
2013-11-01,316.230647066191
2013-12-01,316.525168631826
2014-01-01,315.120016793499
2014-02-01,316.805765448518
2014-03-01,317.06264669594896
2014-04-01,317.970176713055
2014-05-01,318.13283709398
2014-06-01,318.654523883568
2014-07-01,318.296422685155
2014-08-01,319.092604905244
2014-09-01,319.74703246728
2014-10-01,320.416298335103
2014-11-01,321.718246012451
2014-12-01,321.62000480650397
2015-01-01,324.115350506313
2015-02-01,323.896096524897
2015-03-01,324.067922297494
2015-04-01,325.373276720698
2015-05-01,326.185343990494
2015-06-01,327.793594617862
2015-07-01,330.693227287764
2015-08-01,330.924628490254
2015-09-01,331.215671011314
2015-10-01,332.482485456494
2015-11-01,332.924220594305
2015-12-01,333.896762735923
2016-01-01,333.706741305692
2016-02-01,334.118246339678
2016-03-01,335.333606703689
2016-04-01,337.357458772185
2016-05-01,337.970812952387
2016-06-01,338.386182303521
2016-07-01,341.388541329455
2016-08-01,340.726236176565
2016-09-01,343.044654691613
2016-10-01,344.93103669495696
2016-11-01,344.87941227611196
2016-12-01,346.27911943889603
2017-01-01,345.76342371121103
2017-02-01,347.10686786959
2017-03-01,348.93973278408896
2017-04-01,347.17550698519204
2017-05-01,348.14302280990796
2017-06-01,348.81378814490404
2017-07-01,347.099795950261
2017-08-01,347.849018923929
2017-09-01,350.070851987505
2017-10-01,349.484329128627
2017-11-01,350.079553946139
2017-12-01,351.039694676467
2018-01-01,351.42437392429605
2018-02-01,352.4710008115
2018-03-01,354.087228375763
2018-04-01,352.63161434678597
2018-05-01,352.657053344785
2018-06-01,354.89806759232596
2018-07-01,353.22429631715795
2018-08-01,354.880097315507
2018-09-01,354.19034835531403
2018-10-01,355.91996365737197
2018-11-01,356.840338696019
2018-12-01,356.658791001762
2019-01-01,359.35105416489
2019-02-01,360.606703713512
2019-03-01,361.91696239467905
2019-04-01,364.24782833624397
2019-05-01,365.17968812081904
2019-06-01,365.118473274636
2019-07-01,366.828647283074
2019-08-01,367.765251688002
2019-09-01,368.412856440495
2019-10-01,367.806017122782
2019-11-01,369.425213477312
2019-12-01,369.49964935165
2020-01-01,372.519313124985
2020-02-01,373.314992336277
2020-03-01,370.69654804375097
2020-04-01,330.200904205307
2020-05-01,334.492769629696
2020-06-01,344.95379460777
2020-07-01,346.23722098101405
2020-08-01,348.551160087164
2020-09-01,349.96567752407304
2020-10-01,352.986062157827
2020-11-01,353.32832539674797
2020-12-01,355.295973683043
2021-01-01,356.43470381319196
2021-02-01,357.141108759751
2021-03-01,356.62423146292195
2021-04-01,361.560021724029
2021-05-01,362.314984872434
2021-06-01,363.088479751773
2021-07-01,368.473832752841
2021-08-01,367.666950028199
2021-09-01,366.430858324624
2021-10-01,366.85858445737
2021-11-01,368.608279732587
2021-12-01,369.61885310027395
2022-01-01,369.342337951418
2022-02-01,369.864213648144
2022-03-01,370.74115813681
2022-04-01,370.445027340963
